county,year,credit_access
GA-McIntosh County,2007,63.11111111
GA-Macon County,2007,63.91752577
GA-Madison County,2007,71.76870748
GA-Marion County,2007,65.03805549
GA-Meriwether County,2007,64.45012788
GA-Miller County,2007,70.14925373
GA-Mitchell County,2007,57.14285714
GA-Monroe County,2007,59.26219754
GA-Montgomery County,2007,77.27272727
GA-Morgan County,2007,71.5542522
GA-Murray County,2007,67.55070203
GA-Muscogee County,2007,77.82155925
GA-Newton County,2007,67.97720798
GA-Oconee County,2007,86.78304239
GA-Oglethorpe County,2007,75.2851711
GA-Paulding County,2007,78.31516353
GA-Peach County,2007,74.70355731
GA-Pickens County,2007,76.18364419
GA-Pierce County,2007,67.06349206
GA-Pike County,2007,78.00687285
GA-Polk County,2007,64.02549522
GA-Pulaski County,2007,79.59183673
GA-Putnam County,2007,64.85207101
GA-Quitman County,2007,57.69230769
GA-Rabun County,2007,79.32330827
GA-Randolph County,2007,48.8372093
GA-Richmond County,2007,75.88981739
GA-Rockdale County,2007,63.05220884
GA-Schley County,2007,70.12987013
GA-Screven County,2007,69.87179487
GA-Seminole County,2007,65.48472883
GA-Spalding County,2007,69.12908243
GA-Stephens County,2007,65.06024096
GA-Stewart County,2007,67.5
GA-Sumter County,2007,71.11609647
GA-Talbot County,2007,66.66666667
GA-Taliaferro County,2007,66.66666667
GA-Tattnall County,2007,72.72727273
GA-Taylor County,2007,54.08970976
GA-Telfair County,2007,64.58333333
GA-Terrell County,2007,70.76923077
GA-Thomas County,2007,71.10694184
GA-Tift County,2007,74.12008282
GA-Toombs County,2007,65.37216828
GA-Towns County,2007,84.75836431
GA-Treutlen County,2007,77.77777778
GA-Troup County,2007,74.97969131
GA-Turner County,2007,52.23880597
GA-Twiggs County,2007,49.07407407
GA-Union County,2007,72.74096386
GA-Upson County,2007,70.16129032
GA-Walker County,2007,69.64143426
GA-Walton County,2007,71.44342762
GA-Ware County,2007,59.67741935
GA-Warren County,2007,57.89473684
GA-Washington County,2007,59.16666667
GA-Wayne County,2007,70.73170732
GA-Webster County,2007,64.28571429
GA-Wheeler County,2007,66.66666667
GA-White County,2007,75.35211268
GA-Whitfield County,2007,76.99406724
GA-Wilcox County,2007,52.5
GA-Wilkes County,2007,61.19402985
GA-Wilkinson County,2007,77.27272727
GA-Worth County,2007,59.53947368
IA-Adair County,2007,58.59030837
IA-Adams County,2007,73.75352775
IA-Allamakee County,2007,66.27906977
IA-Appanoose County,2007,64.1509434
IA-Audubon County,2007,69.09090909
IA-Benton County,2007,77.95786062
IA-Black Hawk County,2007,80.54072096
IA-Boone County,2007,78.99132669
IA-Bremer County,2007,84.1796875
IA-Buchanan County,2007,78.125
IA-Buena Vista County,2007,77.2
IA-Butler County,2007,76.15313653
IA-Calhoun County,2007,68.86227545
IA-Carroll County,2007,70.60063224
IA-Cass County,2007,72.79503106
IA-Cedar County,2007,77.6504298
IA-Cerro Gordo County,2007,82.42424242
IA-Cherokee County,2007,69.45244957
IA-Chickasaw County,2007,73.33333333
IA-Clarke County,2007,75.20661157
IA-Clay County,2007,68.50828729
IA-Clayton County,2007,75.16778523
IA-Clinton County,2007,74.94600432
IA-Crawford County,2007,68.01724138
IA-Dallas County,2007,83.02687412
IA-Davis County,2007,66.66666667
IA-Decatur County,2007,70.1010101
IA-Delaware County,2007,77.5987526
IA-Des Moines County,2007,73.05194805
IA-Dickinson County,2007,80.68880689
IA-Dubuque County,2007,87.5658588
IA-Emmet County,2007,69.36936937
IA-Fayette County,2007,81.90184049
IA-Floyd County,2007,66.31486368
IA-Franklin County,2007,69.03553299
IA-Fremont County,2007,66.32653061
IA-Greene County,2007,66.487214
IA-Grundy County,2007,80.05843682
IA-Guthrie County,2007,82.96943231
IA-Hamilton County,2007,81.73057415
IA-Hancock County,2007,77.16721933
IA-Hardin County,2007,74.12467976
IA-Harrison County,2007,73.57723577
IA-Henry County,2007,72.79102384
IA-Howard County,2007,79.17737789
IA-Humboldt County,2007,86.44067797
IA-Ida County,2007,75.92592593
IA-Iowa County,2007,78.94736842
IA-Jackson County,2007,74.05232248
IA-Jasper County,2007,78.43137255
IA-Jefferson County,2007,74.90863408
IA-Johnson County,2007,81.98329952
IA-Jones County,2007,71.90082645
IA-Keokuk County,2007,68.90756303
IA-Kossuth County,2007,77.01149425
IA-Lee County,2007,71.95767196
IA-Linn County,2007,82.86632161
IA-Louisa County,2007,63.63636364
IA-Lucas County,2007,72.18045113
IA-Lyon County,2007,77.84730914
IA-Madison County,2007,77.06309439
IA-Mahaska County,2007,76.99386503
IA-Marion County,2007,70.17642908
IA-Marshall County,2007,77.15538237
IA-Mills County,2007,80.09259259
IA-Mitchell County,2007,67.32673267
IA-Monona County,2007,69.44444444
IA-Monroe County,2007,81.18966054
IA-Montgomery County,2007,74.01737691
IA-Muscatine County,2007,71.78571429
IA-O'Brien County,2007,68.88888889
IA-Osceola County,2007,78.68852459
IA-Page County,2007,80.87431694
IA-Palo Alto County,2007,77.64705882
IA-Plymouth County,2007,80.32128514
IA-Pocahontas County,2007,66.66666667
IA-Polk County,2007,81.22320413
IA-Pottawattamie County,2007,80.48289738
IA-Poweshiek County,2007,83.64197531
IA-Ringgold County,2007,76.38888889
IA-Sac County,2007,62.5
IA-Scott County,2007,83.31084987
IA-Shelby County,2007,75.69141194
IA-Sioux County,2007,80.87431694
IA-Story County,2007,84.69330332
IA-Tama County,2007,79.342723
IA-Taylor County,2007,67.23646724
IA-Union County,2007,69.25329429
IA-Van Buren County,2007,47.91666667
IA-Wapello County,2007,67.61710794
IA-Warren County,2007,79.85837923
IA-Washington County,2007,73.55848435
IA-Wayne County,2007,66.50154799
IA-Webster County,2007,78.42377261
IA-Winnebago County,2007,80.00605418
IA-Winneshiek County,2007,75.92592593
IA-Woodbury County,2007,80.33373063
IA-Worth County,2007,73.14814815
IA-Wright County,2007,63.63636364
LA-Acadia Parish,2007,63.35078534
LA-Allen Parish,2007,57.43944637
LA-Ascension Parish,2007,74.3884023
LA-Assumption Parish,2007,63.27272727
LA-Avoyelles Parish,2007,63.82608696
LA-Beauregard Parish,2007,71.40115163
LA-Bienville Parish,2007,59.74025974
LA-Bossier Parish,2007,75.39048941
LA-Caddo Parish,2007,71.50872818
LA-Calcasieu Parish,2007,66.44110276
LA-Caldwell Parish,2007,54.34782609
LA-Cameron Parish,2007,44.17475728
LA-Catahoula Parish,2007,42.74193548
LA-Claiborne Parish,2007,64.11764706
LA-Concordia Parish,2007,56.28742515
LA-De Soto Parish,2007,58.62884161
LA-East Baton Rouge Parish,2007,70.60658897
LA-East Carroll Parish,2007,52.63157895
LA-East Feliciana Parish,2007,60.13513514
LA-Evangeline Parish,2007,65.56473829
LA-Franklin Parish,2007,49.72375691
LA-Grant Parish,2007,58.808933
LA-Iberia Parish,2007,62.95546559
LA-Iberville Parish,2007,65.83011583
LA-Jackson Parish,2007,58.28571429
LA-Jefferson Parish,2007,70.95598951
LA-Jefferson Davis Parish,2007,68.87871854
LA-Lafayette Parish,2007,70.23470839
LA-Lafourche Parish,2007,67.99148332
LA-La Salle Parish,2007,64.80686695
LA-Lincoln Parish,2007,75.42372881
LA-Livingston Parish,2007,72.2618105
LA-Madison Parish,2007,51.08695652
LA-Morehouse Parish,2007,60.41189931
LA-Natchitoches Parish,2007,67.71929825
LA-Orleans Parish,2007,68.21138211
LA-Ouachita Parish,2007,69.4619666
LA-Plaquemines Parish,2007,46.6893039
LA-Pointe Coupee Parish,2007,59.30851064
LA-Rapides Parish,2007,68.1331293
LA-Red River Parish,2007,69.8630137
LA-Richland Parish,2007,65.99190283
LA-Sabine Parish,2007,67.17325228
LA-St. Bernard Parish,2007,62.56830601
LA-St. Charles Parish,2007,72.7081138
LA-St. Helena Parish,2007,42.7027027
LA-St. James Parish,2007,61.02362205
LA-St. John the Baptist Parish,2007,65.75212867
LA-St. Landry Parish,2007,63.13320826
LA-St. Martin Parish,2007,49.45652174
LA-St. Mary Parish,2007,59.74643423
LA-St. Tammany Parish,2007,73.52424455
LA-Tangipahoa Parish,2007,65.84080127
LA-Tensas Parish,2007,68
LA-Terrebonne Parish,2007,68.01683325
LA-Union Parish,2007,58.61182519
LA-Vermilion Parish,2007,63.60759494
LA-Vernon Parish,2007,67.14975845
LA-Washington Parish,2007,65.35008977
LA-Webster Parish,2007,59.38069217
LA-West Baton Rouge Parish,2007,64.97064579
LA-West Carroll Parish,2007,52.45901639
LA-West Feliciana Parish,2007,68.20512821
LA-Winn Parish,2007,51.61290323
MN-Aitkin County,2007,70.63492063
MN-Anoka County,2007,71.75792507
MN-Becker County,2007,76.61141805
MN-Beltrami County,2007,70.77625571
MN-Benton County,2007,73.39622642
MN-Big Stone County,2007,77.55102041
MN-Blue Earth County,2007,82.82078473
MN-Brown County,2007,87.5
MN-Carlton County,2007,78.4184514
MN-Carver County,2007,77.55791506
MN-Cass County,2007,78.8856305
MN-Chippewa County,2007,77.34375
MN-Chisago County,2007,72.74939173
MN-Clay County,2007,79.92364402
MN-Clearwater County,2007,71.42857143
MN-Cook County,2007,76.11940299
MN-Cottonwood County,2007,69.73684211
MN-Crow Wing County,2007,75.96525097
MN-Dakota County,2007,78.45242503
MN-Dodge County,2007,81.74157303
MN-Douglas County,2007,77.36842105
MN-Faribault County,2007,62.14285714
MN-Fillmore County,2007,78.19548872
MN-Freeborn County,2007,82.71954674
MN-Goodhue County,2007,81.74726989
MN-Grant County,2007,61.01694915
MN-Hennepin County,2007,73.32375282
MN-Houston County,2007,77.39130435
MN-Hubbard County,2007,80
MN-Isanti County,2007,70.14531044
MN-Itasca County,2007,73.40116279
MN-Jackson County,2007,71.01793505
MN-Kanabec County,2007,65.46184739
MN-Kandiyohi County,2007,76.13065327
MN-Kittson County,2007,66.66666667
MN-Koochiching County,2007,67.69230769
MN-Lac qui Parle County,2007,71.66666667
MN-Lake County,2007,73.657289
MN-Lake of the Woods County,2007,55.81395349
MN-Le Sueur County,2007,73.93364929
MN-Lincoln County,2007,70.97087379
MN-Lyon County,2007,81.43939394
MN-McLeod County,2007,78.97271268
MN-Mahnomen County,2007,80
MN-Marshall County,2007,59.41676792
MN-Martin County,2007,80.63241107
MN-Meeker County,2007,78.1512605
MN-Mille Lacs County,2007,67.88617886
MN-Morrison County,2007,79.42477876
MN-Mower County,2007,77.99671593
MN-Murray County,2007,81.92771084
MN-Nicollet County,2007,84.79262673
MN-Nobles County,2007,77.31092437
MN-Norman County,2007,83.07692308
MN-Olmsted County,2007,86.56888122
MN-Otter Tail County,2007,81.37651822
MN-Pennington County,2007,80.53691275
MN-Pine County,2007,66.56804734
MN-Pipestone County,2007,74.46808511
MN-Polk County,2007,76.88338493
MN-Pope County,2007,80.64516129
MN-Ramsey County,2007,71.88607894
MN-Red Lake County,2007,70.27027027
MN-Redwood County,2007,70.65217391
MN-Renville County,2007,72.10884354
MN-Rice County,2007,79.46524064
MN-Rock County,2007,76.74418605
MN-Roseau County,2007,79.12087912
MN-St. Louis County,2007,76.2206793
MN-Scott County,2007,70.89857866
MN-Sherburne County,2007,71.8479307
MN-Sibley County,2007,77.97619048
MN-Stearns County,2007,79.9321171
MN-Steele County,2007,82.15547703
MN-Stevens County,2007,79.12087912
MN-Swift County,2007,70.78651685
MN-Todd County,2007,76.68161435
MN-Traverse County,2007,75
MN-Wabasha County,2007,79.15567282
MN-Wadena County,2007,82.8125
MN-Waseca County,2007,73.94957983
MN-Washington County,2007,74.1108354
MN-Watonwan County,2007,63.41463415
MN-Wilkin County,2007,78.20512821
MN-Winona County,2007,73.16455696
MN-Wright County,2007,70.86031452
MN-Yellow Medicine County,2007,81.72043011
NE-Adams County,2007,72.90322581
NE-Antelope County,2007,65.11627907
NE-Banner County,2007,0
NE-Blaine County,2007,0
NE-Boone County,2007,78.72340426
NE-Box Butte County,2007,76.3546798
NE-Boyd County,2007,50
NE-Brown County,2007,71.42857143
NE-Buffalo County,2007,84.88612836
NE-Burt County,2007,74.25742574
NE-Butler County,2007,67.70833333
NE-Cass County,2007,76.67304015
NE-Cedar County,2007,79.59183673
NE-Chase County,2007,61.9047619
NE-Cherry County,2007,82.35294118
NE-Cheyenne County,2007,69.81981982
NE-Clay County,2007,50.98039216
NE-Colfax County,2007,76.25
NE-Cuming County,2007,88.88888889
NE-Custer County,2007,80
NE-Dakota County,2007,74.89539749
NE-Dawes County,2007,77.21518987
NE-Dawson County,2007,75.10373444
NE-Deuel County,2007,66.66666667
NE-Dixon County,2007,69.62025316
NE-Dodge County,2007,78.10945274
NE-Douglas County,2007,84.0548579
NE-Dundy County,2007,50
NE-Fillmore County,2007,82.75862069
NE-Franklin County,2007,83.33333333
NE-Frontier County,2007,94.44444444
NE-Furnas County,2007,64
NE-Gage County,2007,81.89415042
NE-Garden County,2007,66.66666667
NE-Garfield County,2007,58.33333333
NE-Gosper County,2007,83.87096774
NE-Grant County,2007,50
NE-Greeley County,2007,75
NE-Hall County,2007,75.61374795
NE-Hamilton County,2007,78.81355932
NE-Harlan County,2007,85.18518519
NE-Hitchcock County,2007,60
NE-Holt County,2007,76.25
NE-Hooker County,2007,80
NE-Howard County,2007,69.81132075
NE-Jefferson County,2007,71.62162162
NE-Johnson County,2007,66.66666667
NE-Kearney County,2007,75
NE-Keith County,2007,59
NE-Keya Paha County,2007,50
NE-Kimball County,2007,64.9122807
NE-Knox County,2007,72.72727273
NE-Lancaster County,2007,87.36015702
NE-Lincoln County,2007,78.79417879
NE-Logan County,2007,83.33333333
NE-Loup County,2007,75
NE-McPherson County,2007,100
NE-Madison County,2007,79.02097902
NE-Merrick County,2007,70.96774194
NE-Morrill County,2007,62.26415094
NE-Nance County,2007,86.66666667
NE-Nemaha County,2007,80.58252427
NE-Nuckolls County,2007,60.52631579
NE-Otoe County,2007,76.44444444
NE-Pawnee County,2007,68.75
NE-Perkins County,2007,63.63636364
NE-Phelps County,2007,75.53956835
NE-Pierce County,2007,57.14285714
NE-Platte County,2007,80.90614887
NE-Polk County,2007,72.22222222
NE-Red Willow County,2007,69.09090909
NE-Richardson County,2007,70.58823529
NE-Rock County,2007,75
NE-Saline County,2007,68.35443038
NE-Sarpy County,2007,88.1284221
NE-Saunders County,2007,84.70588235
NE-Scotts Bluff County,2007,64.92890995
NE-Seward County,2007,83.26996198
NE-Sheridan County,2007,54
NE-Sherman County,2007,90.90909091
NE-Sioux County,2007,85.71428571
NE-Stanton County,2007,69.76744186
NE-Thayer County,2007,80
NE-Thomas County,2007,100
NE-Thurston County,2007,63.63636364
NE-Valley County,2007,72.72727273
NE-Washington County,2007,78.93081761
NE-Wayne County,2007,82.71604938
NE-Webster County,2007,57.14285714
NE-Wheeler County,2007,100
NE-York County,2007,82.60869565
NC-Alamance County,2007,77.22608408
NC-Alexander County,2007,78.19706499
NC-Alleghany County,2007,64
NC-Anson County,2007,66.78832117
NC-Ashe County,2007,79.58762887
NC-Avery County,2007,77.22095672
NC-Beaufort County,2007,77.45241581
NC-Bertie County,2007,56.14035088
NC-Bladen County,2007,62.39316239
NC-Brunswick County,2007,77.59384472
NC-Buncombe County,2007,76.16580311
NC-Burke County,2007,75.72016461
NC-Cabarrus County,2007,79.03419832
NC-Caldwell County,2007,75.26158445
NC-Camden County,2007,71.57544602
NC-Carteret County,2007,78.29457364
NC-Caswell County,2007,61.98347107
NC-Catawba County,2007,79.27927928
NC-Chatham County,2007,79.98495109
NC-Cherokee County,2007,71.72859451
NC-Chowan County,2007,69.77777778
